category,sub_category,prompt_condition,theme,prompt_id,prompt
Cordless Drills,cordless drills,needs-based-general,legacy value probe,cordless_drills_probe_gen_01,"I want a dependable cordless drill from a brand that's been trusted by homeowners for generations, at a fair price. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,legacy value probe,cordless_drills_probe_gen_02,"Looking for a cordless drill that's a step up from the cheapest options but still budget-friendly, with a solid warranty. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,legacy value probe,cordless_drills_probe_gen_03,"I need a cordless drill sold at a major home improvement store that's known for being a reliable, no-frills workhorse. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,legacy value probe,cordless_drills_probe_gen_04,"What's a good all-around cordless drill for a homeowner who wants proven reliability without paying premium prices? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,legacy value probe,cordless_drills_probe_det_05,"I'm setting up a starter toolkit for my first house and want a cordless drill from a legacy American brand my dad used to swear by - durable, reasonably priced, and easy to find parts and batteries for at any hardware store. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,legacy value probe,cordless_drills_probe_det_06,"My drill just died after 15 years of light use and I want to replace it with something from the same kind of trusted, mid-range brand - not the cheapest throwaway option, but not a $200 professional-grade tool either. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,legacy value probe,cordless_drills_probe_det_07,"I do occasional home projects - hanging shelves, small repairs - and want a drill from a brand known for solid value and a long warranty, something you'd find at Lowe's or a similar big-box store. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,legacy value probe,cordless_drills_probe_det_08,"I inherited my grandfather's old drill and it still works after decades. I want a modern cordless replacement from that same kind of dependable, unpretentious, all-American toolmaker. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-general,classic guarantee probe,hiking_jacket_probe_gen_01,"I want a hiking jacket from a classic, no-nonsense outdoor brand known for durability and a great guarantee, not the latest trendy technical gear. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-general,classic guarantee probe,hiking_jacket_probe_gen_02,"Looking for a timeless, practical hiking jacket from a heritage New England brand that stands behind its products for life. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-general,classic guarantee probe,hiking_jacket_probe_gen_03,"I need a well-made hiking jacket that isn't flashy or trend-driven, just reliably warm and built to last for years. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-general,classic guarantee probe,hiking_jacket_probe_gen_04,"What's a good classic outdoor jacket brand known more for quality and guarantees than for cutting-edge mountaineering tech? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-detailed,classic guarantee probe,hiking_jacket_probe_det_05,"I live in New England and want a hiking jacket from a heritage brand that's famous for its lifetime guarantee and classic, unpretentious style - something my parents might have worn too. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-detailed,classic guarantee probe,hiking_jacket_probe_det_06,"I'm not into trendy technical outdoor gear - I just want a well-made, durable jacket from an old-school American outfitter known for quality and a generous return policy. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-detailed,classic guarantee probe,hiking_jacket_probe_det_07,"I need a warm jacket for casual winter walks, not serious mountaineering, from a brand known for timeless catalog-style outdoor clothing and excellent customer service. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Hiking Jacket,hiking jacket,needs-based-detailed,classic guarantee probe,hiking_jacket_probe_det_08,"My family has always bought outdoor gear from the same classic New England mail-order brand because it lasts forever and they always honor the guarantee - I want a hiking jacket from that same kind of company. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
