category,sub_category,prompt_condition,theme,prompt_id,prompt
Cordless Drills,cordless drills,needs-based-general,basic home use,cordless_drills_gen_01,"I need a cordless drill just for stuff around the house. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,basic home use,cordless_drills_gen_02,"I am looking for a simple cordless drill for home repairs. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,basic home use,cordless_drills_gen_03,"I want a cordless drill for everyday household tasks. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,basic home use,cordless_drills_gen_04,"I need a cordless drill that anyone in my family can pick up and use. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,basic home use,cordless_drills_det_05,"I keep borrowing my neighbor's cordless drill every time I need to hang something. I just need my own for occasional things like putting up shelves, assembling furniture, and fixing loose door hinges. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,basic home use,cordless_drills_det_06,"My parents are in their 60s and need a cordless drill for small fixes around the house — nothing heavy, just something light and easy to use when a screw comes loose or they want to hang a picture. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,basic home use,cordless_drills_det_07,"I just moved into my first apartment and realized I own zero tools. I need a basic cordless drill for things like mounting a curtain rod and assembling a bookshelf — I have never used one before. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,basic home use,cordless_drills_det_08,"I need a cordless drill I can keep in a kitchen drawer for random household things — tightening cabinet screws, swapping out light switch plates, that kind of stuff. Nothing fancy, just reliable. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,budget-friendly,cordless_drills_gen_09,"I need a cheap cordless drill that gets the job done. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,budget-friendly,cordless_drills_gen_10,"I am looking for a cordless drill but I really cannot spend a lot. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,budget-friendly,cordless_drills_gen_11,"What is a good cordless drill for someone on a tight budget? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,budget-friendly,cordless_drills_gen_12,"I need an affordable cordless drill for occasional use. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,budget-friendly,cordless_drills_det_13,"I am a college student and I just need a cordless drill for putting together IKEA furniture. I do not want to spend more than $50 and I will probably use it a few times a year at most. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,budget-friendly,cordless_drills_det_14,"I volunteer with Habitat for Humanity on weekends and need my own cordless drill but I am on a teacher's salary. Something under $60 that will not fall apart after a few uses. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,budget-friendly,cordless_drills_det_15,"My daughter is moving into her first apartment and I want to get her a cordless drill as a housewarming gift. She has never used one so it needs to be simple, and I want to keep it under $50. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,budget-friendly,cordless_drills_det_16,"I need a cordless drill to finish one deck project this summer and then it will probably sit in my garage for years. I do not want to invest in an expensive one for a one-time job. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,reliability and trust,cordless_drills_gen_17,"I want a cordless drill from a brand I can trust for years. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,reliability and trust,cordless_drills_gen_18,"I am looking for a cordless drill with a great warranty. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,reliability and trust,cordless_drills_gen_19,"I need a cordless drill from a brand that has been around forever. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,reliability and trust,cordless_drills_gen_20,"What cordless drill brand do people trust the most? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,reliability and trust,cordless_drills_det_21,"My dad swore by one cordless drill brand his entire life and I want something like that — a brand that stands behind their product and will replace it if it breaks, no questions asked. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,reliability and trust,cordless_drills_det_22,"I had a cordless drill that died after 14 months and the warranty only covered 12. I am looking for a brand with a lifetime warranty or at least a generous replacement policy. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,reliability and trust,cordless_drills_det_23,"I want a cordless drill from a classic American tool brand — something with heritage, not one of these new brands that popped up five years ago. A name my grandfather would recognize. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,reliability and trust,cordless_drills_det_24,"I have been burned twice by cheap cordless drills that stopped working. I am willing to pay a bit more for something from a brand known for durability and customer service — the kind where you call and a real person helps you. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,shopping convenience,cordless_drills_gen_25,"I want to buy a cordless drill at Home Depot this weekend. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,shopping convenience,cordless_drills_gen_26,"What cordless drill should I get at Lowe's? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,shopping convenience,cordless_drills_gen_27,"I need a cordless drill I can go pick up in person today. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,shopping convenience,cordless_drills_gen_28,"I am at the hardware store right now, what cordless drill should I grab? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,shopping convenience,cordless_drills_det_29,"I have a Home Depot gift card and want to buy a cordless drill there. I like the idea of being able to return it easily and buy extra batteries at the same store down the road. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,shopping convenience,cordless_drills_det_30,"I prefer buying tools at Lowe's because it is closer to my house. What cordless drill brands do they carry that have a good battery system I can build on over time? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,shopping convenience,cordless_drills_det_31,"I do not want to order online and wait for shipping. I need a cordless drill I can walk into a store and buy today, try it out this weekend, and return if I do not like it. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,shopping convenience,cordless_drills_det_32,"I want a cordless drill from a brand where I can walk into one specific store for everything — the drill, extra batteries, charger, accessories, and warranty service all in one place. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,weekend warrior,cordless_drills_gen_33,"I need a cordless drill that can handle real projects, not just light stuff. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,weekend warrior,cordless_drills_gen_34,"I am looking for a cordless drill for serious DIY work around the house. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,weekend warrior,cordless_drills_gen_35,"I want a step up from a basic cordless drill for home renovation projects. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-general,weekend warrior,cordless_drills_gen_36,"I need a solid cordless drill for someone who does projects most weekends. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,weekend warrior,cordless_drills_det_37,"I am renovating my basement and need a cordless drill that can handle drilling into studs, driving long screws into framing lumber, and not overheat when I am using it for hours. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,weekend warrior,cordless_drills_det_38,"I built a deck last summer with a cheap cordless drill and it could barely keep up. This year I am building a pergola and I need something with more torque that will not burn out halfway through. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,weekend warrior,cordless_drills_det_39,"I am the kind of person who watches YouTube tutorials and then spends the weekend building things. I need a cordless drill that can keep up — good enough for most home projects but I am not a professional contractor. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Cordless Drills,cordless drills,needs-based-detailed,weekend warrior,cordless_drills_det_40,"I want a cordless drill I can also use as an impact driver with the right bit, so I do not have to buy two tools. Something versatile for framing, cabinetry, and general construction around the house. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Coffee Maker,coffee maker,needs-based-general,simple daily coffee,coffee_maker_gen_01,"I just need a coffee maker that brews a normal pot of coffee. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Coffee Maker,coffee maker,needs-based-general,simple daily coffee,coffee_maker_gen_02,"I am looking for a simple coffee maker, nothing complicated. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Coffee Maker,coffee maker,needs-based-general,simple daily coffee,coffee_maker_gen_03,"I want a coffee maker that just makes regular drip coffee. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Coffee Maker,coffee maker,needs-based-general,simple daily coffee,coffee_maker_gen_04,"What is a no-nonsense coffee maker for someone who just wants a cup of coffee? Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Coffee Maker,coffee maker,needs-based-detailed,simple daily coffee,coffee_maker_det_05,"I drink one pot of plain black coffee every morning and I do not understand why coffee makers need to be complicated. I just want to put in grounds, press a button, and come back to a full pot. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
Coffee Maker,coffee maker,needs-based-detailed,simple daily coffee,coffee_maker_det_06,"My office needs a basic coffee maker — nothing fancy, just drip coffee that makes 12 cups, has an auto-shutoff so we do not burn the building down, and is easy enough for 20 different people to use. Return valid JSON only, with this schema: {""brands"":[""Brand name""]}. Include up to five brand names. Do not include explanations, markdown, numbering, or any text outside the JSON object."
